TEAM,SEASON,SHOTRATIO
Arsenal,1819,0.4294117647058823
Man City,1314,0.42857142857142855
Chelsea,1617,0.4166666666666667
Man City,1718,0.4061302681992337
Leicester,1516,0.3756906077348066
Man City,1415,0.36403508771929827
Man City,0910,0.2896825396825397
Man United,1213,0.28762541806020064
Man United,1011,0.25161290322580643
Man United,1112,0.24119241192411925
