TEAM,SEASON,SHOTSRECEIVED
Fulham,1314,85
Burnley,0910,82
Wolves,1112,82
Fulham,1819,81
Hull,1617,80
Blackpool,1011,78
Aston Villa,1516,76
Wigan,1213,73
Reading,1213,73
QPR,1415,73
West Ham,1718,68
Stoke,1718,68
